index,top_ten_hashtags,date
58,"[('COVID19', 128), ('coronavirus', 57), ('covid19', 41), ('COVID__19', 29), ('lockdown', 26), ('Covid19', 16), ('Covid_19', 15), ('Coronavirus', 14), ('Covid19UK', 9), ('covid', 9)]",2020-05-17
59,"[('COVID19', 242), ('coronavirus', 83), ('covid19', 40), ('lockdown', 22), ('lockdown2020', 16), ('Covid19', 15), ('MentalHealthAwarenessWeek', 15), ('Coronavirus', 11), ('staysafe', 11), ('covid', 9)]",2020-05-18
60,"[('COVID19', 121), ('Covid_19', 106), ('coronavirus', 68), ('covid19', 48), ('lockdown2020', 25), ('lockdown', 24), ('COVID', 10), ('DailyUpdate', 10), ('covid', 10), ('Coronavirus', 9)]",2020-05-19
61,"[('Covid_19', 153), ('coronavirus', 69), ('COVID19', 63), ('covid19', 43), ('Covid19', 28), ('lockdown', 19), ('Covid19UK', 15), ('Coronavirus', 12), ('heatwave', 12), ('covid_19', 11)]",2020-05-20
62,"[('Covid_19', 125), ('coronavirus', 64), ('COVID19', 43), ('covid19', 35), ('Covid19', 32), ('lockdown', 21), ('COVID', 11), ('Covid19UK', 11), ('covid', 9), ('Coronavirus', 7)]",2020-05-21
63,"[('coronavirus', 71), ('COVID19', 61), ('covid19', 37), ('Covid19', 26), ('Covid_19', 26), ('lockdown', 17), ('COVIDー19', 14), ('Coronavirus', 12), ('Covid', 11), ('Covid19UK', 11)]",2020-05-22
64,"[('COVID19', 138), ('coronavirus', 71), ('covid19', 20), ('Covid19', 20), ('lockdown', 19), ('Cummings', 19), ('COVID_19', 14), ('COVIDー19', 13), ('staysafe', 12), ('DailyBriefing', 12)]",2020-05-23
65,"[('COVID19', 160), ('johnsonout', 44), ('dominiccummimgs', 43), ('coronavirus', 42), ('covid19', 39), ('COVID', 29), ('Covid19', 26), ('lockdown', 25), ('dominiccummings', 16), ('BorisJohnson', 13)]",2020-05-24
66,"[('COVID19', 133), ('coronavirus', 93), ('DominicCummngs', 50), ('DominicCummings', 34), ('lockdown', 32), ('covid19', 26), ('Covid19', 21), ('NHS', 18), ('Covid_19', 16), ('covid', 15)]",2020-05-25
67,"[('COVID__19', 73), ('coronavirus', 62), ('COVID19', 41), ('Covid_19', 40), ('covid19', 32), ('lockdown', 19), ('Covid19', 14), ('DominicCummings', 14), ('COVID', 13), ('NHS', 10)]",2020-05-26
68,"[('COVID19', 136), ('COVID__19', 83), ('coronavirus', 73), ('covid19', 30), ('Covid_19', 26), ('lockdown', 22), ('Coronavirus', 16), ('Covid19', 16), ('DominicCummnings', 14), ('SocialDistancing', 9)]",2020-05-27
69,"[('COVID19', 164), ('coronavirus', 74), ('covid19', 47), ('Covid_19', 33), ('lockdown', 21), ('Covid19', 20), ('COVID', 17), ('CoronaVirus', 14), ('Covid', 12), ('covid', 11)]",2020-05-28
70,"[('COVID19', 79), ('coronavirus', 41), ('covid19', 33), ('Covid19', 19), ('lockdown', 15), ('Covid_19', 13), ('COVID', 11), ('covid', 8), ('COVID__19', 8), ('NHS', 6)]",2020-05-29
71,"[('COVID19', 100), ('coronavirus', 62), ('covid19', 51), ('lockdown', 26), ('COVID__19', 21), ('Covid19', 15), ('COVID', 14), ('Covid_19', 12), ('Glasgow', 12), ('CoronaVirus', 11)]",2020-05-30
72,"[('COVID19', 102), ('coronavirus', 47), ('covid19', 39), ('Covid19', 27), ('COVID__19', 24), ('covid', 16), ('Covid_19', 10), ('COVIDIOTS', 10), ('COVIDIDIOTS', 10), ('COVID', 9)]",2020-05-31
73,"[('COVID19', 95), ('coronavirus', 45), ('covid19', 38), ('Covid19', 26), ('lockdown', 13), ('COVID_19', 12), ('BlackLivesMatter', 11), ('covid', 9), ('Coronavirus', 9), ('Covid_19', 7)]",2020-06-01
74,"[('COVID19', 106), ('covid19', 40), ('coronavirus', 38), ('Covid19', 19), ('BlackLivesMatter', 18), ('lockdown', 15), ('Covid_19', 11), ('COVID', 10), ('covid_19', 9), ('BAME', 7)]",2020-06-02
75,"[('COVID19', 88), ('Covid_19', 73), ('coronavirus', 41), ('covid19', 31), ('Covid19', 26), ('BlackLivesMattter', 15), ('COVID', 14), ('BlackLivesMatter', 12), ('borisvoteofnoconfidence', 11), ('lockdown', 10)]",2020-06-03
76,"[('COVID19', 74), ('coronavirus', 56), ('covid19', 22), ('Covid19', 17), ('COVIDー19', 13), ('COVID', 7), ('covid', 7), ('Covid_19', 7), ('uk', 6), ('SocialDistancing', 6)]",2020-06-04
77,"[('COVID19', 75), ('coronavirus', 39), ('covid19', 29), ('Covid19', 13), ('COVIDー19', 12), ('lockdown', 11), ('covid', 10), ('Coronavirus', 9), ('ExcludedUK', 8), ('StayAlert', 6)]",2020-06-05
78,"[('COVID19', 124), ('coronavirus', 50), ('covid19', 27), ('BlackLivesMatter', 26), ('Covid19', 14), ('COVIDIDIOTS', 10), ('lockdown', 9), ('BlackLivesMattters', 8), ('Covid19UK', 7), ('BlackLivesMatterUK', 7)]",2020-06-06
79,"[('COVID19', 113), ('coronavirus', 48), ('covid19', 23), ('covid', 16), ('BlackLivesMatter', 15), ('Covid19', 14), ('COVIDIDIOTS', 13), ('londonprotest', 9), ('BlackLivesMattters', 9), ('BLM', 8)]",2020-06-07
80,"[('COVID19', 115), ('coronavirus', 41), ('lockdown', 31), ('covid19', 28), ('COVID__19', 13), ('Covid19', 12), ('covid', 11), ('BlackLivesMatter', 9), ('pandemic', 6), ('blm', 6)]",2020-06-08
81,"[('COVID__19', 54), ('COVID19', 46), ('coronavirus', 45), ('covid19', 32), ('Covid_19', 18), ('lockdown', 16), ('COVID', 12), ('Covid19', 8), ('pandemic', 8), ('covid', 7)]",2020-06-09
82,"[('COVID__19', 78), ('COVID19', 54), ('coronavirus', 41), ('Covid19', 21), ('covid19', 17), ('lockdown', 13), ('Covid', 8), ('COVID', 8), ('covid', 7), ('OneCrisisAtATime', 5)]",2020-06-10
83,"[('COVID19', 113), ('coronavirus', 35), ('covid19', 27), ('COVID__19', 23), ('lockdown', 15), ('covid', 13), ('Covid19', 10), ('pandemic', 6), ('staysafe', 6), ('BiomedicalScienceDay2020', 6)]",2020-06-11
84,"[('COVID19', 113), ('coronavirus', 38), ('covid19', 23), ('lockdown', 12), ('Covid19', 11), ('COVID', 10), ('covid', 8), ('KPMGBudgetInsights', 7), ('Coronavirus', 6), ('covid_19', 6)]",2020-06-12
85,"[('COVID19', 93), ('covid19', 30), ('coronavirus', 27), ('lockdown', 16), ('londonriots', 7), ('BlackLivesMatter', 6), ('londonprotests', 6), ('COVID', 6), ('Covid19', 6), ('covid_19', 5)]",2020-06-13
86,"[('COVID19', 92), ('coronavirus', 30), ('covid19', 28), ('lockdown', 16), ('Covid19', 12), ('Covid', 7), ('Covid_19', 7), ('COVID', 7), ('covid_19', 7), ('covid', 6)]",2020-06-14
87,"[('COVID19', 126), ('coronavirus', 39), ('covid19', 29), ('Covid_19', 22), ('covid', 14), ('shopsreopening', 12), ('lockdown', 11), ('Covid19', 8), ('SocialDistancing', 6), ('StayAlert', 6)]",2020-06-15
88,"[('COVID19', 132), ('Covid_19', 55), ('coronavirus', 37), ('covid19', 21), ('dexamethasone', 13), ('Covid19', 13), ('StaySafe', 9), ('COVID', 8), ('covid', 7), ('pandemic', 6)]",2020-06-16
89,"[('COVID19', 119), ('coronavirus', 28), ('covid19', 25), ('Covid_19', 15), ('lockdown', 9), ('Covid19', 9), ('COVID', 8), ('footballsback', 7), ('PremierLeague', 6), ('ExcludedUK', 5)]",2020-06-17
90,"[('COVID19', 138), ('coronavirus', 36), ('COVID', 23), ('covid19', 22), ('lockdown', 22), ('Covid_19', 21), ('Covid19', 9), ('Covid19UK', 8), ('SocialDistancing', 6), ('4Nature4Us', 6)]",2020-06-18
91,"[('COVID19', 138), ('coronavirus', 45), ('covid19', 22), ('COVID', 17), ('lockdown', 15), ('Covid19', 13), ('Covid_19', 11), ('gatherings', 7), ('covid', 6), ('Covid', 5)]",2020-06-19
92,"[('COVID19', 100), ('coronavirus', 33), ('COVID', 32), ('lockdown', 28), ('covid19', 27), ('gatherings', 21), ('ScottishLivesMatterToo', 13), ('covid', 10), ('Covid19', 8), ('COVIDIOTS', 6)]",2020-06-20
93,"[('COVID19', 97), ('coronavirus', 28), ('covid19', 15), ('lockdown', 13), ('Covid_19', 11), ('FathersDay', 8), ('COVID', 7), ('CoronaVirus', 6), ('nhs', 6), ('Coronavirus', 5)]",2020-06-21
94,"[('COVID19', 89), ('coronavirus', 29), ('Covid_19', 23), ('covid19', 21), ('lockdown', 10), ('COVID', 7), ('covid', 6), ('Coronavirus', 5), ('Covid19', 5), ('NHS', 5)]",2020-06-22
95,"[('COVID19', 126), ('coronavirus', 46), ('covid19', 38), ('lockdown', 20), ('COVID__19', 19), ('Covid_19', 17), ('COVID', 11), ('covid', 10), ('Covid19UK', 9), ('DailyBriefing', 9)]",2020-06-23
