,date,county,sentiment,New County,viable,id
11424,2020-07-17,Bedfordshire,0.6153846153846154,Bedfordshire,1,0
23328,2020-11-18,Bedfordshire,0.9285714285714286,Bedfordshire,1,0
11520,2020-07-18,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
23232,2020-11-17,Bedfordshire,0.5294117647058824,Bedfordshire,1,0
11616,2020-07-19,Bedfordshire,0.125,Bedfordshire,1,0
23136,2020-11-16,Bedfordshire,0.6,Bedfordshire,1,0
11712,2020-07-20,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
23040,2020-11-15,Bedfordshire,0.375,Bedfordshire,1,0
11808,2020-07-21,Bedfordshire,1.0,Bedfordshire,1,0
22944,2020-11-14,Bedfordshire,0.2,Bedfordshire,1,0
11904,2020-07-22,Bedfordshire,0.625,Bedfordshire,1,0
22848,2020-11-13,Bedfordshire,0.2857142857142857,Bedfordshire,1,0
23808,2020-11-23,Bedfordshire,0.5384615384615384,Bedfordshire,1,0
34656,2021-03-16,Bedfordshire,1.0,Bedfordshire,1,0
17376,2020-09-17,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
288,2020-03-23,Bedfordshire,0.64,Bedfordshire,1,0
34848,2021-03-18,Bedfordshire,0.42857142857142855,Bedfordshire,1,0
34752,2021-03-17,Bedfordshire,0.0,Bedfordshire,1,0
192,2020-03-22,Bedfordshire,0.64,Bedfordshire,1,0
96,2020-03-21,Bedfordshire,0.62,Bedfordshire,1,0
34944,2021-03-19,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
32449,2021-02-21,Berkshire,0.5769953626743133,West Berkshire,1,1
10081,2020-07-03,Berkshire,0.5769953626743133,West Berkshire,1,1
19105,2020-10-05,Berkshire,0.5769953626743133,West Berkshire,1,1
961,2020-03-30,Berkshire,0.5769953626743133,West Berkshire,1,1
673,2020-03-27,Berkshire,0.5769953626743133,West Berkshire,1,1
19681,2020-10-11,Berkshire,0.5769953626743133,West Berkshire,1,1
15073,2020-08-24,Berkshire,0.5769953626743133,West Berkshire,1,1
14305,2020-08-16,Berkshire,0.5769953626743133,West Berkshire,1,1
20449,2020-10-19,Berkshire,0.5769953626743133,West Berkshire,1,1
33025,2021-02-27,Berkshire,0.5769953626743133,West Berkshire,1,1
34369,2021-03-13,Berkshire,0.5769953626743133,West Berkshire,1,1
15649,2020-08-30,Berkshire,0.5769953626743133,West Berkshire,1,1
12769,2020-07-31,Berkshire,0.5769953626743133,West Berkshire,1,1
